,Fabrikalar,Mudur_Sayisi,Mudur_Maasi,Mudur_Puani,Calisan_Sayisi,Calisan_Maasi,Calisan_Puani,Satis_Pazarlama_Mudur_Sayisi,Satis_Pazarlama_Mudur_Puani,Satis_Pazarlama_Mudur_Maasi,Satis_Pazarlama_Calisan_Eleman_Sayisi,Satis_Pazarlama_Calisan_Eleman_Puani,Satis_Pazarlama_Calisan_Eleman_Maasi,Makine_Maaliyeti,Calisan_Mesai,Mola_Suresi,Makine_Sayisi,Makine_Haftalik_Bakim,Makine_Bakim_Ucreti,Veri_Analizi_Mudur_Sayisi,Veri_Analizi_Mudur_Puani,Veri_Analizi_Mudur_Maasi,Veri_Analizi_Calisan_Sayisi,Veri_Analizi_Calisan_Puani,Veri_Analizi_Calisan_Maasi,Depo_Sayisi,Isci_Memnuniyeti,Lojistik_Sayisi,Lojistik_Puani,Ortalama_Calisma_Suresi,Uretim_Hizi,Uretim_Miktari,Urun_Hata_Orani,Fabrika_Giderleri,Urun_Basi_Maliyet,Urun_Basi_Kar,Urun_Min_Satis_Fiyati,Urun_Max_Satis_Fiyati,Hammadde_Cesidi,Kaucuk_Alis_Fiyati,Kaucuk_Satis_Fiyati,Kaucuk_Kalitesi,Motorsiklet_Lastik_Performansi,Traktor_Lastik_Performansi,Bisiklet_Lastik_Performansi,SUV_Lastik_Performansi,Yazlik_Lastik_Performansi,Dort_Mevsim_Lastik_Performansi,Kislik_Lastik_Performansi,Lastik_Capi,Lastik_Agirligi,Lastik_Ebati,Kuru_Zemin_Fren,Islak_Zemin_Fren,Karli_Zemin_Fren,Konfor,Viraj_Donus_Puan,Yol_Temasi,Direksiyon_Hakimiyeti,Yakit_Tuketimi,Yuk_Endeksi,Off_Road_Uygunlugu,Sirt_Deseni,Gurultu,Asinma,Centik_Sayisi
245,Fabrika 246,14,12.193,8,5845,5060,10,13,8,9493,4807,8,6990,362083,17,25,5370,3,7356,9,10,15740,6604,10,9583,58,7,27,10,45,5,349381,4,875432,59,74,232,582,1,42661,35425,7,10,7,9,9,7,10,9,16,6,7,7,6,9,9,7,5,5,5,5,7,8,10,7,7
246,Fabrika 247,14,9.431,5,5618,5625,10,7,6,9770,7071,10,5712,377828,5,37,6716,3,5303,9,10,15363,7142,10,10679,38,5,29,8,36,5,456114,4,959929,26,103,208,642,1,40987,43742,10,6,6,8,8,6,5,10,16,6,10,6,5,7,9,5,8,7,8,8,9,5,5,10,10
247,Fabrika 248,12,11.529,8,5836,4907,7,15,8,10827,7166,5,5014,223814,12,49,7121,2,5623,7,10,18214,5759,10,11272,25,6,30,6,26,10,491734,4,988404,69,68,238,475,3,41568,39077,10,5,7,6,6,9,9,7,18,6,9,5,5,9,5,6,8,6,7,7,8,7,5,10,5
248,Fabrika 249,11,10.438,8,5808,6538,7,8,10,12995,5614,6,6755,488934,3,31,5623,3,5675,9,10,18665,4574,10,10668,27,9,44,8,46,10,114146,2,888116,26,80,232,553,3,42595,38701,7,10,8,9,10,10,10,7,15,6,9,9,5,8,6,8,8,9,7,6,6,5,7,9,5
249,Fabrika 250,8,9.361,5,4502,7205,10,12,8,14417,6309,7,5347,132206,21,27,6958,3,5927,8,10,15474,6708,10,12634,44,7,25,6,45,5,347291,2,813579,57,70,238,861,2,37843,36135,6,5,9,8,7,10,7,7,13,6,8,9,6,6,6,6,8,10,8,8,10,10,10,7,7
250,Fabrika 251,12,13.184,9,5943,5329,7,11,10,13753,6940,8,4500,234031,10,28,7343,3,5910,5,10,15947,6929,10,7835,30,8,29,9,41,7,216888,1,807191,66,83,239,843,2,44694,40919,10,10,6,7,10,5,7,5,12,6,10,8,9,5,5,6,5,9,10,8,8,9,6,6,10
251,Fabrika 252,10,10.974,9,6928,6226,5,8,6,12058,6956,5,4530,332012,8,38,4545,2,5779,8,10,15403,6153,10,8762,48,9,50,6,48,6,160777,5,541341,66,101,203,475,3,42474,35639,9,9,7,8,10,9,6,10,13,6,5,10,8,6,6,8,7,8,10,5,10,10,7,9,6
252,Fabrika 253,7,13.887,6,5740,7436,9,13,7,8238,7123,8,4800,104055,16,39,4803,3,4504,9,10,17262,5307,10,14800,21,5,31,6,26,6,360327,1,943704,41,112,238,546,2,36472,36505,6,10,5,7,8,8,9,9,20,6,6,7,5,7,6,9,6,9,6,7,5,10,8,10,7
253,Fabrika 254,7,11.272,8,6531,5335,5,14,6,8420,5331,9,6178,262219,5,40,5891,2,5968,6,10,16103,6676,10,10026,53,7,35,5,47,7,400046,2,976513,76,92,218,771,2,42279,42576,8,7,10,7,6,6,8,6,12,6,9,7,6,6,9,9,6,10,6,9,10,9,7,10,10
254,Fabrika 255,10,11.183,5,5312,6467,8,10,7,14571,6154,8,4870,118582,21,47,5020,2,5602,8,10,17657,5244,10,12136,23,9,39,10,48,6,487705,4,815942,22,90,210,904,2,36755,43288,9,6,10,9,6,8,7,7,19,6,6,7,5,9,6,9,9,8,8,6,10,7,6,9,7
255,Fabrika 256,15,12.282,7,5941,6213,7,9,6,9677,5464,9,5887,227746,19,46,5924,3,7410,5,10,17253,7362,10,11362,36,5,28,7,41,6,343798,4,904749,66,112,217,694,1,36734,40238,5,6,8,7,9,7,9,9,19,6,7,5,8,6,8,7,9,10,6,5,10,6,5,6,5
256,Fabrika 257,11,12.699,9,5759,7088,8,9,8,9213,4694,8,7421,219649,4,50,5370,3,7216,6,10,16963,6573,10,8821,22,7,40,5,31,10,118601,1,641427,74,92,236,847,2,42333,43580,5,6,10,6,10,10,10,5,15,6,10,8,5,5,8,8,10,9,8,7,7,5,8,6,5
257,Fabrika 258,7,13.869,5,5965,6495,7,9,6,7942,4691,10,5146,194018,20,31,7464,3,6626,5,10,19380,6475,10,14080,34,10,42,8,31,6,166046,3,780240,56,106,201,653,1,38381,44822,7,10,9,5,9,8,9,6,18,6,8,10,7,10,6,10,6,8,10,8,5,9,5,8,9
258,Fabrika 259,12,7.894,9,4659,7442,10,10,10,9806,5679,6,5066,270493,4,39,6169,2,7366,8,10,15570,6504,10,9802,58,7,37,5,48,8,259468,5,569137,28,102,222,694,3,44616,35992,8,9,6,8,8,9,10,7,15,6,10,8,6,10,5,10,7,9,7,5,8,5,8,8,7
259,Fabrika 260,10,13.450,5,4606,6982,7,13,6,8673,7210,7,4727,217795,7,50,5893,3,5724,7,10,16675,6798,10,13189,36,8,41,9,25,6,125617,5,897596,36,73,203,592,3,41554,35056,6,9,8,5,5,6,10,9,19,6,7,7,9,9,7,9,10,6,7,7,6,7,10,7,6
260,Fabrika 261,14,8.400,5,5344,6312,7,7,9,8100,6579,10,6031,306817,9,29,7078,2,6293,8,10,18316,4820,10,8002,35,5,27,5,41,8,195577,2,842223,27,88,217,616,1,44969,37914,6,8,5,10,5,7,7,9,17,6,5,8,6,5,9,5,5,6,9,5,10,5,10,5,6
261,Fabrika 262,7,8.726,6,6039,6336,10,14,7,13659,5762,7,6414,427805,5,46,5574,3,5525,5,10,17907,5971,10,14865,34,5,48,6,25,10,450993,3,520806,28,89,221,933,1,43371,38057,10,5,9,8,5,5,9,10,18,6,9,8,6,10,8,6,8,10,10,6,8,6,10,9,5
262,Fabrika 263,9,9.046,6,6353,4823,6,9,7,7939,7345,7,4680,317335,16,34,7435,2,4918,9,10,16756,7368,10,12621,35,6,42,5,33,5,124310,4,943262,40,102,235,745,1,40646,42091,10,9,8,5,7,6,5,6,14,6,6,10,5,9,7,6,6,8,9,8,8,5,7,6,5
263,Fabrika 264,11,11.386,6,6215,5663,9,10,10,12540,5337,8,7237,479305,19,30,6464,2,6030,9,10,15553,4625,10,10801,41,5,28,10,50,6,249679,5,523947,20,119,207,876,1,44820,38535,7,6,6,8,7,7,7,7,18,6,7,5,7,6,5,9,6,9,6,8,7,7,5,10,5
264,Fabrika 265,15,12.862,6,6158,7418,10,15,9,7958,6776,7,4840,176356,7,44,5254,2,5616,10,10,15798,6678,10,9511,56,7,35,7,44,10,112381,1,957976,71,65,219,798,1,36414,40041,10,9,10,5,9,5,7,9,18,6,9,7,8,6,9,9,9,8,9,10,6,5,8,8,6
265,Fabrika 266,8,8.746,9,6168,4745,9,9,7,11145,6858,7,5376,419540,16,36,5850,2,6564,9,10,15465,5966,10,8009,34,8,48,10,45,6,387638,1,900593,59,68,204,479,1,41693,37002,5,5,7,7,5,6,9,8,12,6,5,7,10,6,6,7,5,9,6,9,8,5,6,9,9
266,Fabrika 267,8,11.934,7,6912,7286,8,15,9,13012,5407,9,5807,453493,10,49,6879,2,6673,9,10,16986,5925,10,14544,23,7,37,6,30,5,264367,2,605950,47,69,216,702,2,40922,36436,10,8,6,6,5,6,8,6,14,6,9,8,8,10,10,8,9,9,7,6,5,7,10,10,7
267,Fabrika 268,10,12.929,7,7182,6769,8,14,6,11764,6211,9,6253,452828,6,36,5199,2,4631,8,10,16515,5934,10,10202,40,9,40,8,31,7,350162,2,981104,74,106,219,920,2,37856,41555,7,9,7,7,8,6,9,9,14,6,6,8,5,10,8,8,7,7,10,10,7,8,9,5,5
268,Fabrika 269,11,11.925,6,5311,5058,7,13,5,11369,6690,5,4649,220604,12,28,5576,2,6094,8,10,18669,6517,10,9680,49,8,27,5,50,9,329141,1,930941,67,64,224,875,2,36488,35661,6,8,9,9,5,6,10,6,15,6,7,6,6,5,7,5,8,6,5,8,6,6,8,5,5
269,Fabrika 270,12,9.732,8,4524,6820,8,12,10,9676,7117,10,5917,268144,18,43,7252,2,5728,7,10,17351,5806,10,8093,43,9,32,10,47,7,339318,3,579611,52,64,226,807,3,39465,37823,8,8,7,10,7,9,10,6,20,6,7,6,6,7,6,10,8,9,8,10,6,5,10,9,7
270,Fabrika 271,12,13.833,9,7100,6130,10,12,6,11954,7336,5,7448,413931,6,50,5861,2,6401,6,10,18342,7392,10,13269,25,8,46,5,47,9,309803,1,575239,65,65,232,788,2,41461,35307,5,5,9,7,7,8,8,10,12,6,7,5,6,10,5,6,9,8,7,5,10,7,8,6,8
271,Fabrika 272,10,11.914,10,6365,4800,10,8,10,9293,4570,5,5405,418708,21,28,5453,2,6109,9,10,19010,6616,10,8754,50,8,46,8,29,7,457086,1,675197,39,116,224,912,2,40412,44744,9,7,10,6,10,8,6,6,12,6,5,5,5,5,10,9,9,6,6,5,9,9,7,7,6
272,Fabrika 273,15,12.026,6,6486,5730,10,7,10,11990,7320,6,5398,103358,12,47,5347,3,5188,7,10,16730,5562,10,11796,32,6,44,5,31,9,258402,5,532909,26,111,228,865,1,42285,40555,7,10,9,6,6,8,8,7,15,6,7,5,6,8,5,6,8,10,7,8,9,6,6,10,7
273,Fabrika 274,7,11.833,10,4846,6779,9,12,5,12032,4841,8,7090,206471,15,30,4612,2,6758,7,10,17755,5633,10,7506,48,7,40,10,33,6,328750,5,573831,69,105,224,919,2,38274,44233,10,10,8,7,9,6,10,9,20,6,10,10,6,9,6,7,9,9,6,9,9,6,7,10,6
274,Fabrika 275,11,9.886,9,5152,6702,7,8,8,12389,7277,5,7056,482768,20,45,6038,3,5919,8,10,19595,5263,10,7948,22,7,40,9,29,10,182747,2,932317,35,97,200,618,3,37523,38143,5,10,7,6,10,8,10,5,14,6,7,6,9,5,10,6,10,5,6,5,10,8,5,7,9
275,Fabrika 276,15,11.835,7,5649,5194,10,9,5,12483,4820,9,6453,376353,12,39,6227,3,5725,6,10,17738,4818,10,14503,23,7,36,7,43,8,217852,2,554359,40,92,230,950,1,41049,35148,10,6,10,6,6,10,9,9,13,6,10,9,6,10,9,8,6,7,10,5,5,8,8,6,8
276,Fabrika 277,8,13.908,10,5132,6377,5,8,5,11203,5764,10,5358,163329,17,41,6285,2,7144,5,10,15888,4978,10,11521,53,9,25,10,30,8,129099,4,699971,50,109,208,493,2,38307,39598,9,10,6,6,7,9,10,7,20,6,7,8,6,9,6,10,8,5,7,10,5,9,10,5,10
277,Fabrika 278,9,11.792,6,5114,6812,7,14,5,12654,6768,6,6076,209260,13,46,7080,3,5376,5,10,16103,7448,10,10292,32,6,29,7,47,10,329743,2,514644,68,61,215,854,2,43240,41541,9,10,10,10,6,6,9,5,18,6,8,7,10,7,8,7,8,6,7,6,9,9,9,8,5
278,Fabrika 279,10,11.574,10,5292,6366,8,8,9,9713,5244,7,6693,220318,16,31,4869,2,5707,5,10,18118,6286,10,9315,22,7,39,9,30,5,321131,5,727406,59,72,233,723,1,42763,39232,6,7,6,8,6,8,6,7,18,6,10,9,9,7,5,10,7,6,6,5,7,10,8,9,10
279,Fabrika 280,15,8.828,9,7016,4588,10,10,7,13579,6152,9,5400,320160,4,45,5597,2,7456,5,10,15385,4978,10,8805,41,9,26,7,33,5,470529,1,562660,30,78,210,591,1,38239,35493,5,6,10,8,8,10,8,6,13,6,10,5,9,7,6,7,6,10,10,10,5,8,6,10,9
280,Fabrika 281,11,14.048,10,6045,7087,8,7,8,8407,6077,9,4986,383189,3,26,5871,3,7175,7,10,19754,7087,10,9383,50,6,50,9,29,7,185113,5,524654,44,120,240,745,3,41500,38970,6,9,9,10,7,10,8,6,16,6,9,6,9,5,8,6,9,6,6,8,5,6,6,8,5
281,Fabrika 282,15,13.489,10,6023,5891,8,9,8,7575,4820,6,6558,207837,12,27,4799,3,6028,5,10,19293,7063,10,11284,21,6,46,5,34,6,394028,2,918688,44,90,223,481,3,44688,39356,5,7,10,10,6,10,9,6,15,6,10,8,10,10,8,10,10,7,6,10,6,9,8,6,5
282,Fabrika 283,9,7.560,10,4704,6653,8,15,5,13984,7494,9,6240,127173,16,36,5921,3,4992,10,10,19168,6367,10,11722,35,8,35,8,49,9,112347,5,694358,42,74,217,628,2,37085,35386,6,8,9,10,9,10,8,8,16,6,6,10,9,7,9,6,5,9,9,8,9,10,5,6,7
283,Fabrika 284,10,7.673,5,5395,4837,7,9,9,14191,4867,10,5780,365556,19,45,6904,2,4906,5,10,17795,5173,10,9434,26,9,30,7,46,10,111202,1,518726,32,99,205,539,2,36403,39128,6,10,7,6,8,8,7,9,20,6,9,10,6,5,7,9,7,5,9,10,8,7,7,10,10
284,Fabrika 285,14,14.812,9,6416,5231,10,9,6,9427,4653,7,5147,342632,12,37,6497,2,7174,6,10,15428,6446,10,8111,34,5,44,10,33,5,399500,3,947960,58,66,209,744,3,38300,37782,8,7,9,8,6,5,7,7,14,6,9,10,8,10,8,10,10,7,10,9,10,8,8,6,9
285,Fabrika 286,12,11.298,10,5328,6478,9,11,9,9580,5841,7,5892,437886,20,41,6776,2,5783,10,10,16679,6505,10,10924,44,5,48,6,32,6,352455,1,632188,48,100,229,945,1,36837,39809,8,10,6,8,10,6,8,7,13,6,8,9,10,10,10,10,7,8,10,5,6,8,5,6,8
286,Fabrika 287,10,11.299,9,6891,5934,10,10,6,9620,6511,5,5656,262346,16,27,5985,2,6046,8,10,15748,5838,10,11155,45,7,28,5,31,7,129192,2,669119,61,92,232,810,1,43633,36071,7,10,9,9,5,6,5,8,17,6,10,9,6,7,6,10,9,6,7,6,7,10,6,7,5
287,Fabrika 288,8,11.097,5,4955,6949,6,8,7,8625,4736,6,6929,479886,9,29,6570,2,7138,7,10,16303,4583,10,13419,26,9,46,7,39,6,288136,2,659264,63,72,222,689,2,44404,36943,10,5,6,10,5,8,7,6,15,6,8,6,9,7,6,7,5,10,7,8,6,7,9,5,6
288,Fabrika 289,14,12.821,5,6794,5696,5,10,6,14853,5312,9,7368,229929,7,28,6559,2,5137,10,10,17277,5360,10,7845,48,5,29,6,40,8,200871,2,798255,26,67,230,767,1,43204,36580,7,5,6,9,6,6,7,5,18,6,8,10,9,6,10,7,5,8,10,7,10,6,10,7,6
289,Fabrika 290,12,13.096,10,4968,6703,7,7,10,7706,6936,8,7083,140366,8,32,7125,3,6159,6,10,18295,6472,10,8222,23,5,36,10,43,5,259262,5,503009,43,83,220,657,1,35670,40897,6,10,6,7,6,8,6,6,16,6,10,8,9,7,10,9,5,7,10,10,10,8,7,10,9
290,Fabrika 291,13,8.775,5,5789,6734,7,11,5,12947,4979,5,6213,116010,15,42,7333,3,5611,10,10,15655,6671,10,11585,39,6,33,9,36,6,286223,3,715360,26,92,220,911,2,38475,39690,5,10,6,10,9,5,5,6,14,6,6,7,6,6,5,7,6,8,5,6,5,8,6,9,8
291,Fabrika 292,15,9.945,7,5772,6861,10,13,9,12711,7187,7,5700,374345,8,32,7303,3,6842,7,10,16787,5458,10,14794,27,5,39,10,33,8,107173,1,865793,72,77,240,635,2,37400,39716,8,6,6,5,9,8,7,6,17,6,5,9,5,10,7,10,9,7,7,6,9,5,9,8,6
292,Fabrika 293,8,8.296,5,5063,6640,7,14,5,10952,7033,9,6106,462842,5,38,5554,2,6660,8,10,18193,4629,10,10251,54,8,33,5,26,8,469658,3,605100,60,107,212,791,2,36681,38295,9,5,6,10,6,9,5,6,17,6,6,7,7,9,5,9,5,5,5,10,10,9,6,7,10
293,Fabrika 294,11,11.426,6,5913,7071,6,11,7,10024,6284,6,6315,408138,11,46,4636,3,5668,9,10,19687,4656,10,10595,37,8,29,5,26,9,238873,2,773500,54,72,205,711,2,40280,43834,10,6,5,8,5,10,8,5,20,6,5,5,6,7,5,10,8,9,7,8,10,5,8,7,7
294,Fabrika 295,15,12.946,5,5917,4688,8,8,6,11348,6020,8,6182,159590,8,32,5082,2,6258,5,10,17476,7174,10,8801,33,6,28,8,37,8,258000,1,590921,65,82,235,919,3,37746,37225,6,7,9,7,5,6,8,9,17,6,6,5,7,8,7,5,8,5,5,9,10,9,5,10,6
295,Fabrika 296,14,12.123,7,6619,7221,10,11,9,8792,4502,6,7147,324512,17,39,5078,2,7492,10,10,15755,6326,10,8324,31,6,48,9,26,5,415466,2,930415,78,84,231,848,2,44805,36546,10,5,10,9,5,5,7,6,12,6,8,10,9,9,9,5,6,6,6,7,8,5,10,8,7
296,Fabrika 297,10,12.167,8,6552,7238,6,8,8,11143,6871,9,5478,357544,7,35,5826,3,4830,5,10,18917,6533,10,14526,33,6,30,5,48,9,324200,3,776016,43,84,233,653,2,35401,36164,7,7,5,10,8,9,10,8,13,6,8,7,6,9,7,5,9,7,8,5,10,6,8,9,8
297,Fabrika 298,11,9.435,7,6114,6189,5,10,9,7927,4775,6,6447,275466,16,50,6494,3,6137,6,10,16049,5700,10,12055,26,8,49,10,48,10,427192,3,758562,69,80,215,812,1,35570,38189,7,8,8,9,7,10,8,5,16,6,7,8,7,7,7,7,8,8,7,5,8,9,10,10,6
298,Fabrika 299,14,14.670,7,5172,4918,7,15,6,8041,6894,6,5651,107613,20,50,5741,2,6803,8,10,16340,7036,10,12511,51,8,39,8,48,6,324165,2,791024,67,90,232,920,2,44365,41748,6,9,8,7,6,6,5,8,17,6,5,7,10,5,5,10,6,9,7,6,6,7,9,7,7
299,Fabrika 300,9,7.923,10,6367,6785,7,9,9,11544,5250,9,4551,158761,16,44,4751,3,5309,5,10,18380,5125,10,14737,44,7,34,10,31,10,384477,3,632094,27,100,211,580,2,42589,42059,6,5,5,5,7,6,10,6,15,6,8,5,9,6,6,6,8,9,6,7,6,5,6,9,9
300,Fabrika 301,7,13.111,7,6437,5315,8,10,7,7637,7146,7,7382,135926,21,39,6634,3,6808,5,10,16507,7492,10,12004,27,9,25,7,29,7,380480,4,858087,69,114,230,796,1,38870,43388,6,8,7,8,5,7,10,10,15,6,8,8,8,7,6,6,6,9,5,10,8,9,10,9,7
301,Fabrika 302,15,8.605,7,7058,6277,10,12,10,10492,7299,9,7286,225656,17,44,4699,2,6316,8,10,17397,6988,10,7592,52,5,36,6,44,9,201422,3,705281,23,71,216,747,2,44704,35303,10,8,9,8,6,7,5,9,12,6,8,5,9,10,7,5,9,5,7,5,9,9,7,5,10
302,Fabrika 303,15,13.709,8,6690,5623,8,7,9,9412,4833,10,5871,119973,19,48,5026,3,6915,9,10,16748,5992,10,13202,23,8,25,5,38,7,347692,1,865313,46,89,229,907,2,41187,39353,6,10,6,6,6,7,7,6,14,6,8,9,6,10,7,6,6,8,10,7,10,7,7,5,7
303,Fabrika 304,13,12.618,6,7042,6830,8,12,5,10690,5895,8,5726,326721,9,43,6529,3,6848,8,10,15715,5399,10,14397,47,6,30,10,44,9,394588,5,967670,42,88,230,919,3,37554,40779,9,9,5,10,7,10,9,10,12,6,9,9,7,8,5,5,8,9,10,5,6,9,5,5,5
304,Fabrika 305,10,13.376,7,7236,6737,6,8,5,10849,7187,9,6925,183969,19,44,6924,2,6662,9,10,16244,5321,10,14942,51,7,27,7,34,6,122023,3,546170,48,110,234,784,3,37545,38146,5,6,5,7,8,5,10,7,15,6,9,6,8,8,6,10,7,9,9,8,6,6,8,8,6
305,Fabrika 306,14,13.892,7,4833,4948,6,7,10,8111,6335,9,7396,279253,4,38,5818,2,5621,5,10,15402,5238,10,10055,51,6,40,7,45,5,175189,3,869556,44,114,222,948,1,43957,44038,5,9,7,8,7,10,9,9,14,6,6,9,8,5,5,9,5,6,9,9,9,10,5,5,10
306,Fabrika 307,9,9.474,9,5389,7382,7,11,5,13555,5071,6,4626,143472,14,47,4502,2,6164,8,10,19660,5901,10,9746,34,10,46,6,32,7,416879,1,656460,71,64,228,554,3,35046,36099,10,6,8,5,8,6,8,8,12,6,5,8,10,6,9,9,6,9,8,10,5,7,5,10,7
307,Fabrika 308,8,12.100,6,5730,6771,5,11,10,10693,7266,10,5951,382441,7,28,6362,2,5726,10,10,19375,7226,10,12418,48,9,48,10,43,6,248210,4,632385,73,60,231,588,2,41287,38475,7,8,6,10,5,10,5,7,18,6,6,6,9,8,7,6,6,7,9,9,10,6,8,5,7
308,Fabrika 309,10,14.459,5,7108,5808,5,12,5,14593,5054,5,7269,338038,20,48,6400,2,6806,9,10,19088,5673,10,13989,39,7,26,6,42,6,299216,5,915629,77,81,233,517,2,42333,41888,5,7,6,5,10,5,8,5,19,6,9,6,8,6,5,8,5,5,6,5,6,8,10,6,5
309,Fabrika 310,8,8.293,7,5693,6500,8,12,6,8074,6001,9,7405,121060,20,41,6205,2,6903,7,10,15143,7025,10,11248,50,9,41,6,25,6,284893,2,646184,43,80,204,821,3,36397,37930,7,8,6,8,9,10,5,9,17,6,7,8,6,6,7,5,9,5,8,5,7,6,8,9,10
310,Fabrika 311,11,14.022,10,6876,5934,6,7,6,11815,6270,5,7122,141033,16,37,4748,3,6805,8,10,18312,4595,10,13628,38,7,25,8,30,6,135713,5,695716,33,85,222,531,3,38802,42681,7,10,5,9,8,8,8,5,15,6,6,8,5,6,6,6,6,5,8,10,5,9,8,5,5
311,Fabrika 312,12,14.433,9,7284,5020,6,12,7,11596,6912,10,5653,219321,11,34,5271,3,6530,8,10,18115,5425,10,10949,42,7,32,8,42,8,397042,2,514739,61,77,234,462,1,35138,41294,10,10,5,10,10,10,6,9,19,6,9,7,10,6,8,9,6,7,6,5,8,10,8,7,8
312,Fabrika 313,12,13.245,6,7433,4722,5,10,5,12498,7404,8,6791,420075,18,27,6823,3,6342,9,10,15487,5706,10,13340,32,9,48,6,44,7,126669,3,514879,35,107,224,491,3,42310,38204,8,10,9,5,7,9,8,5,13,6,8,7,10,5,7,6,9,10,9,10,10,6,9,8,9
313,Fabrika 314,15,10.570,10,7337,5421,5,13,6,11231,6243,7,7163,255673,16,35,5475,3,5215,7,10,18109,5041,10,7805,53,5,46,10,33,6,354186,3,709284,47,72,228,842,2,41072,36447,8,8,8,10,8,6,8,9,20,6,7,5,7,6,8,5,10,9,10,8,5,5,8,6,5
314,Fabrika 315,15,14.174,8,6251,5579,6,9,6,9417,4659,10,7207,253505,4,27,5265,3,6777,6,10,15088,6080,10,14286,40,10,35,7,50,6,210365,5,844525,29,61,240,698,1,39529,42758,10,7,9,10,10,9,8,7,15,6,8,10,10,5,7,5,9,9,8,6,5,5,10,10,9
315,Fabrika 316,13,13.308,6,5454,6622,9,9,7,8747,4932,10,6478,144030,22,31,6138,2,5496,7,10,18846,6754,10,7917,35,6,27,7,42,8,141758,3,817886,79,87,226,834,3,41255,41112,10,6,9,5,6,8,10,9,12,6,5,5,5,7,9,10,9,5,6,10,6,10,10,8,8
316,Fabrika 317,14,12.070,6,5780,5486,10,7,7,8758,5507,6,6822,390606,4,39,7017,2,5786,8,10,17150,4527,10,8150,59,8,31,9,27,9,467428,3,588630,76,79,223,736,1,37417,44963,10,6,9,9,9,5,9,8,13,6,6,7,9,5,9,6,7,5,8,9,8,10,9,7,7
317,Fabrika 318,12,9.257,5,7007,5797,5,12,5,12518,5481,7,5466,264232,15,43,6946,3,7454,10,10,16463,6014,10,11698,38,7,34,5,32,7,209201,1,625136,22,109,232,747,3,42090,42623,9,7,7,7,6,10,6,10,15,6,5,8,10,10,5,5,5,9,8,9,10,5,6,8,5
318,Fabrika 319,13,13.606,7,5684,5113,9,12,9,10338,4999,10,6304,235934,14,26,6592,3,6538,10,10,19246,5334,10,14991,38,8,30,7,34,5,339079,3,959814,32,75,230,837,3,42572,42329,9,5,9,8,8,5,8,7,18,6,5,6,6,6,5,8,9,8,5,8,9,6,8,6,6
319,Fabrika 320,10,14.148,6,6159,7154,7,10,7,10537,5684,7,6073,442113,15,33,5711,2,6681,10,10,19175,5558,10,11283,36,5,39,9,45,7,441830,2,830515,58,91,216,706,3,39638,37947,7,5,6,5,8,6,9,6,13,6,5,10,7,10,9,7,8,10,10,10,8,5,7,5,5
320,Fabrika 321,7,14.750,5,5843,5451,10,8,5,13702,6666,9,6697,331177,17,33,5377,2,4882,8,10,16603,5719,10,9832,36,9,46,10,32,10,186448,5,647985,71,61,210,780,3,42611,42211,8,7,7,5,8,9,9,5,13,6,8,7,8,7,6,10,6,8,7,7,8,5,6,7,7
321,Fabrika 322,8,11.451,10,6736,4946,9,14,6,12145,5157,10,4915,244069,4,25,5652,2,5922,10,10,17750,5277,10,7532,54,8,34,10,41,5,492054,5,991210,80,76,213,682,1,39829,35467,9,5,6,10,7,8,10,7,15,6,7,8,5,10,9,9,10,6,6,8,8,10,7,5,5
322,Fabrika 323,8,12.293,5,7161,4662,9,14,9,8016,6631,9,5206,398474,16,42,5547,3,4768,5,10,17884,5914,10,9695,27,5,36,8,38,9,144639,1,560154,57,97,217,882,2,36193,44909,9,8,6,10,9,7,10,5,16,6,5,10,7,7,6,5,9,9,5,9,5,10,9,6,8
323,Fabrika 324,13,9.985,7,5717,6176,10,11,8,9760,5326,10,4959,113272,8,40,6512,2,6694,9,10,18111,6251,10,11157,21,6,29,6,32,6,102873,4,986134,63,83,234,604,2,37428,40340,5,5,10,8,6,7,5,9,14,6,6,6,7,9,9,8,7,7,8,8,7,5,9,6,6
324,Fabrika 325,7,8.061,7,6027,7036,9,13,5,13253,6904,10,5949,466453,22,47,6634,2,5463,6,10,17497,7180,10,11512,24,10,31,7,27,8,143345,1,884192,33,63,218,651,1,37486,41125,10,10,9,9,9,7,7,9,13,6,9,8,7,9,8,8,6,9,7,9,8,9,8,7,8
325,Fabrika 326,9,11.639,6,6836,6649,10,13,5,9871,5834,8,6958,245007,21,43,6370,2,4622,10,10,18339,6971,10,10166,35,6,46,8,36,10,471874,3,939817,32,65,234,712,3,42901,40774,8,8,8,9,6,5,9,8,12,6,6,5,9,8,7,5,7,5,7,10,8,5,6,6,8
326,Fabrika 327,13,9.513,9,5361,5591,6,9,8,13818,5165,10,4500,261285,18,28,7330,2,4773,6,10,19763,4546,10,14752,58,8,33,5,32,5,364546,4,924120,67,82,234,617,1,44552,39879,8,10,9,10,5,10,8,8,15,6,9,10,6,9,10,9,5,7,8,7,10,7,5,7,10
327,Fabrika 328,11,12.652,5,6258,6862,7,15,7,8459,4772,8,7357,394338,21,39,6952,3,4927,5,10,16792,6872,10,11187,32,6,26,9,35,7,370878,5,800873,78,73,211,720,1,36517,44131,5,8,9,9,7,9,5,10,16,6,7,6,5,10,9,5,9,7,10,6,8,5,10,7,5
